Date,Month,Device,Channel,Campaign Type,Media Type,Region,Targeting,Cost,Clicks
1/6/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,20.28,106
1/6/2013,1,Unknown,Google,Managed,Display,EMEA,Reach,0.56,2
1/7/2013,1,Desktop,Google,Reach,Display,AMS,Reach,5031.366,21520
1/7/2013,1,Mobile,Google,Managed,Display,EMEA,Reach,185.44,1842
1/7/2013,1,Tablet,Google,Remarketing,Display,Global,Remarketing,24.12,98
1/7/2013,1,Unknown,Google,Reach,Display,EMEA  ,Reach,2.6,2
1/8/2013,1,Mobile,Google,Reach,Display,AMS,Reach,705,8200
1/9/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,9.98,12
1/10/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,2.14,2
1/10/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,16.34,18
1/11/2013,1,Mobile,Google,Reach,Display,AMS,Reach,506.634,6892
1/11/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,39.8,458
1/11/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,33.6,202
1/11/2013,1,Unknown,Google,Reach,Display,AMS,Reach,2.62,6
1/12/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1111.52,4208
1/12/2013,1,Mobile,Google,Remarketing,Display,Global,Remarketing,40.78,410
1/12/2013,1,Tablet,Google,Legacy,Display,AMS,Reach,30.82,168
1/13/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,101.96,182
1/13/2013,1,Desktop,Google,Remarketing,Display,Global,Remarketing,1127.4,4476
1/13/2013,1,Tablet,Google,Reach,Display,APAC  ,Reach,9.26,8
1/13/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,32.28,24
1/14/2013,1,Desktop,Google,Reach,Display,APAC  ,Reach,84.22,196
1/14/2013,1,Tablet,Google,Reach,Display,EMEA  ,Reach,27.9,22
1/15/2013,1,Mobile,Google,Reach,Display,APAC  ,Reach,2.58,6
1/16/2013,1,Desktop,Google,Reach,Display,Global,Reach,624.82,268
1/16/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,842.56,5838
1/16/2013,1,Tablet,Google,Reach,Display,Global,Reach,164.2,130
1/17/2013,1,Desktop,Google,Legacy,Display,AMS,Reach,5781.28,31780
1/17/2013,1,Desktop,Google,Reach,Display,Global,Reach,443.68,208
1/17/2013,1,Mobile,Google,Legacy,Display,AMS,Reach,599.6,4484
1/17/2013,1,Tablet,Google,Reach,Display,Global,Reach,159.8,116
